,Unnamed: 0,Codigo,Nombre,Barrio,Comuna,Población,Departamento,Dirección,Street,Number,Street_Type,Street_Number,Number_partA,Number_partB,Dirección Geo,latitude,longitude
4179,4179,20010216,El Vago,La Sierra,VILLA HERMOSA,Medellin,Antioquia,CL 55 H#1-40,CL 55 H,1-40,CL,55 H,1,40,CL 55H #1-40,6.2354449,-75.5283467
4180,4180,20010217,La Reja Cafe,Castilla,DOCE DE OCTUBRE,Medellin,Antioquia,CL 94#72A-29,CL 94,72A-29,CL,94,72A,29,CL 94 #72A-29,6.2896433,-75.57635359999998
4181,4181,20010218,Dónde Yola,Castilla,DOCE DE OCTUBRE,Medellin,Antioquia,CR 72A#94-103,CR 72A,94-103,CR,72A,94,103,CR 72A #94-103,6.290509200000001,-75.5758745
4182,4182,20010219,El Punto De La 97,Castilla,DOCE DE OCTUBRE,Medellin,Antioquia,CL 97 # 74 A 24,CL 97 , 74 A 24,CL,97 , 74 A 24,,CL 97 #74A24,6.294337400000001,-75.5774363
4183,4183,20010220,El Cucho,Castilla,DOCE DE OCTUBRE,Medellin,Antioquia,CR 74B#96-99,CR 74B,96-99,CR,74B,96,99,CR 74B #96-99,6.294018899999998,-75.57821379999999
4184,4184,20010221,El Mirador,La Sierra,VILLA HERMOSA,Medellin,Antioquia,CL 55H#2 ESTE-09,CL 55H,2 ESTE-09,CL,55H,2 ESTE,09,CL 55H #2ESTE-09,6.235227200000001,-75.5283772
4185,4185,20010222,Salsamentetia J J,Francisco Antonio Zea,CASTILLA,Medellin,Antioquia,CL 93#71-45,CL 93,71-45,CL,93,71,45,CL 93 #71-45,6.288186799999999,-75.57570659999998
4187,4187,20010225,Mercados Compartir,Not Specified,LA CANDELARIA,Medellin,Antioquia,CR 64B#42ASUR-11,CR 64B,42ASUR-11,CR,64B,42ASUR,11,CR 64B #42ASUR-11,6.2476376,-75.56581530000003
4195,4195,20010276,Salsamentaria La Cuadra,Doce De Octubre Nº 1,DOCE DE OCTUBRE,Medellin,Antioquia,CL 108#82-22,CL 108,82-22,CL,108,82,22,CL 108 #82-22,6.3099115,-75.57812679999998
4197,4197,20010278,Mercado Osslo,Doce De Octubre Nº 1,DOCE DE OCTUBRE,Medellin,Antioquia,CR 81#106A-9,CR 81,106A-9,CR,81,106A,9,CR 81 #106A-9,6.3078505,-75.5776071
4206,4206,20010294,Tienda La Gloria,Castilla,DOCE DE OCTUBRE,Medellin,Antioquia,CR 74A#94-94,CR 74A,94-94,CR,74A,94,94,CR 74A #94-94,6.2912748,-75.57842889999998
4207,4207,20010295,Tienda La Bendición,Castilla,DOCE DE OCTUBRE,Medellin,Antioquia,CR 73B#94-04,CR 73B,94-04,CR,73B,94,04,CR 73B #94-04,6.2903176,-75.57787069999998
4209,4209,20010298,Tienda Lotero,Alfonso López,CASTILLA,Medellin,Antioquia,CR 72#89B-25,CR 72,89B-25,CR,72,89B,25,CR 72 #89B-25,6.285432900000001,-75.57865340000001
4210,4210,20010299,Los Lopez,Not Specified,DOCE DE OCTUBRE,Medellin,Antioquia,CL 108#81-122,CL 108,81-122,CL,108,81,122,CL 108 #81-122,6.3097213,-75.57777349999998
4211,4211,20010300,Tienda Luigy,Doce De Octubre 1,DOCE DE OCTUBRE,Medellin,Antioquia,CL 107 # 81 - 14,CL 107 , 81 - 14,CL,107 , 81 , 14,CL 107 #81- 14,6.3080064999999985,-75.57766070000001
4212,4212,20010301,El Próspero,Doce De Octubre Nº 1,DOCE DE OCTUBRE,Medellin,Antioquia,CL 107A#80-28,CL 107A,80-28,CL,107A,80,28,CL 107A #80-28,6.3081494000000005,-75.5766988
4215,4215,20010305,Ventana Verde,Santander,DOCE DE OCTUBRE,Medellin,Antioquia,CR 80#104F-6,CR 80,104F-6,CR,80,104F,6,CR 80 #104F-6,6.3064464000000005,-75.5766616
4216,4216,20010306,Techo Azul,Santander,DOCE DE OCTUBRE,Medellin,Antioquia,CR 80#106-2,CR 80,106-2,CR,80,106,2,CR 80 #106-2,6.3071639,-75.5766647
4217,4217,20010307,Lava Autos  La 105,Santander,DOCE DE OCTUBRE,Medellin,Antioquia,CR 80#105A-18,CR 80,105A-18,CR,80,105A,18,CR 80 #105A-18,6.3070238,-75.5766621
4218,4218,20010312,Tienda Pilar,Alfonso López,CASTILLA,Medellin,Antioquia,CR 71#91A-19,CR 71,91A-19,CR,71,91A,19,CR 71 #91A-19,6.2849494,-75.57727460000002
4219,4219,20010314,Tienda Diaz,Santander,DOCE DE OCTUBRE,Medellin,Antioquia,CL 107A#79B-08,CL 107A,79B-08,CL,107A,79B,08,CL 107A #79B-08,6.3080408,-75.57645179999999
4220,4220,20010315,La Ventania,Santander,DOCE DE OCTUBRE,Medellin,Antioquia,CR 80#108-04,CR 80,108-04,CR,80,108,04,CR 80 #108-04,6.3090557,-75.5761717
4221,4221,20010316,La Tiendesita,Castilla,CASTILLA,Medellin,Antioquia,CR 67A#93-114,CR 67A,93-114,CR,67A,93,114,CR 67A #93-114,6.288127600000001,-75.5725776
4224,4224,20010321,Kiosko Azul,Santander,DOCE DE OCTUBRE,Medellin,Antioquia,CL 116#79-63,CL 116,79-63,CL,116,79,63,CL 116 #79-63,6.3102421999999985,-75.5758726
4225,4225,20010325,Carpa Azul,Santander,DOCE DE OCTUBRE,Medellin,Antioquia,CL 114#79-05,CL 114,79-05,CL,114,79,05,CL 114 #79-05,6.3097633,-75.57545470000001
4228,4228,20010332,Adhes,Prado,Comuna 1,Medellin,Antioquia,CR 61A#39SUR-36,CR 61A,39SUR-36,CR,61A,39SUR,36,CR 61A #39SUR-36,6.1675543,-75.6199804
4231,4231,20010336,Tienda Arturo,San Antonio,CASTILLA,Medellin,Antioquia,CR 69#35A SUR-122,CR 69,35A SUR-122,CR,69,35A SUR,122,CR 69 #35ASUR-122,6.284553400000001,-75.5750949
4232,4232,20010339,Bariedades Amanda,Prado,SAN ANTONIO DE PRADO,Medellin,Antioquia,CL 38A AUR#65D-88,CL 38A AUR,65D-88,CL,38A AUR,65D,88,CL 38AAUR #65D-88,6.1868349999999985,-75.652507
4233,4233,20010340,Tienda Verde,Santander,DOCE DE OCTUBRE,Medellin,Antioquia,CR 78D#111-100,CR 78D,111-100,CR,78D,111,100,CR 78D #111-100,6.3100261999999985,-75.575295
4234,4234,20012530,Fruver La 74,Not Specified,DOCE DE OCTUBRE,Medellin,Antioquia,CR 74#98-84,CR 74,98-84,CR,74,98,84,CR 74 #98-84,6.2961129,-75.5762783
4235,4235,20012533,Autoservicio El Eden,Not Specified,DOCE DE OCTUBRE,Medellin,Antioquia,CR 86#103-B6,CR 86,103-B6,CR,86,103,B6,CR 86 #103-B6,6.306628799999999,-75.58441359999998
4236,4236,20012546,Esquina La Bendicion,Enciso,VILLA HERMOSA,Medellin,Antioquia,CR 19#58-03,CR 19,58-03,CR,19,58,03,CR 19 #58-03,6.2514420999999984,-75.54226659999998
4237,4237,20012547,Tienda Y Cafetería Balcones Del Ede,Not Specified,LA CANDELARIA,Medellin,Antioquia,CR 18#58-33,CR 18,58-33,CR,18,58,33,CR 18 #58-33,6.2476376,-75.56581530000003
4238,4238,20012557,La Bendición,Belalcazar,CASTILLA,Medellin,Antioquia,CL 103B # 63C - 67,CL 103B , 63C - 67,CL,103B , 63C , 67,CL 103B #63C- 67,6.2957294,-75.5641655
4342,4342,20012156,Distriblue,Castilla,CASTILLA,Medellin,Antioquia,CR 67 # 92DD - 18,CR 67 , 92DD - 18,CR,67 , 92DD , 18,CR 67 #92DD- 18,6.285964099999998,-75.573515
4463,4463,20006587,Tienda Feliz Aqui,El Pinal,VILLA HERMOSA,Medellin,Antioquia,CR 28 # 107-661,CR 28 , 107-661,CR,28 , 107,661,CR 28 #107-661,6.2432986,-75.54586570000001
4464,4464,20006751,Tienda Alonso,Carpinelo,POPULAR,Medellin,Antioquia,CR 23 # 101-07,CR 23 , 101-07,CR,23 , 101,07,CR 23 #101-07,6.289545299999999,-75.53805190000001
4465,4465,20006761,Tienda Alonso,Popular   1,POPULAR,Medellin,Antioquia,CR 43A#110-45,CR 43A,110-45,CR,43A,110,45,CR 43A #110-45,6.2991712,-75.5479443
4466,4466,20007418,La Cancha,La Avanzada,POPULAR,Medellin,Antioquia,CL 106BB#26-21,CL 106BB,26-21,CL,106BB,26,21,CL 106BB #26-21,6.2932084999999995,-75.538753
4467,4467,20007964,Garaje Verde,Campo Valdes Nº 1,ARANJUEZ,Medellin,Antioquia,CR 47#70-33,CR 47,70-33,CR,47,70,33,CR 47 #70-33,6.2657016,-75.55653259999998
4468,4468,20007970,Yudy,Manrique Central Nº 1,MANRIQUE,Medellin,Antioquia,CL 71#43-27,CL 71,43-27,CL,71,43,27,CL 71 #43-27,6.265975599999999,-75.5529291
4469,4469,20008012,Primavera,San Pedro,ARANJUEZ,Medellin,Antioquia,CR 50 # 68 - 05,CR 50 , 68 - 05,CR,50 , 68 , 05,CR 50 #68- 05,6.2646326,-75.56040290000001
4470,4470,20008026,J A M,San Pedro,ARANJUEZ,Medellin,Antioquia,CR 50C#67-21,CR 50C,67-21,CR,50C,67,21,CR 50C #67-21,6.2641523,-75.5625475
4471,4471,20008082,Helados Marylu,Not Specified,LAURELES,Medellin,Antioquia,CR 23#39A-30,CR 23,39A-30,CR,23,39A,30,CR 23 #39A-30,6.241148300000001,-75.59251940000001
4472,4472,20009679,La Negra,Not Specified,LA CANDELARIA,Medellin,Antioquia,CL 23#99AA-7,CL 23,99AA-7,CL,23,99AA,7,CL 23 #99AA-7,6.2476376,-75.56581530000003
4473,4473,20009755,La Bendición,Manrique Oriental,MANRIQUE,Medellin,Antioquia,CL 89#36 C-08,CL 89,36 C-08,CL,89,36 C,08,CL 89 #36C-08,6.281534400000001,-75.5471663
4474,4474,20009804,Tienda Mafe,Not Specified,EL POBLADO,Medellin,Antioquia,CR 40#65AA-56,CR 40,65AA-56,CR,40,65AA,56,CR 40 #65AA-56,6.210544400000001,-75.5676438
