,Unnamed: 0,Codigo,Nombre,Barrio,Comuna,Población,Departamento,Dirección,Street,Number,Street_Type,Street_Number,Number_partA,Number_partB,Dirección Geo,latitude,longitude
4982,4982,20001416,Variedades La 43,Union De Vivienda Popular,COMUNA 16,Cali,Valle del Cauca,CR 41 E # 42 - 85,CR 41 E , 42 - 85,CR,41 E , 42 , 85,CR 41E #42- 85,3.4108358,-76.50853839999998
4983,4983,20001407,Tienda Mixta,La Union,COMUNA 16,Cali,Valle del Cauca,CR 42 B # 42 - 21,CR 42 B , 42 - 21,CR,42 B , 42 , 21,CR 42B #42- 21,3.4089587,-76.5111979
4984,4984,20004336,Tienda Konga,Retiro,COMUNA 15,Cali,Valle del Cauca,CR 34 # 48 - 07,CR 34 , 48 - 07,CR,34 , 48 , 07,CR 34 #48- 07,3.4126986000000006,-76.4986959
4985,4985,20000791,Tienda Mixta,La Primavera,COMUNA 11,Cali,Valle del Cauca,CR 33 # 34 - 28,CR 33 , 34 - 28,CR,33 , 34 , 28,CR 33 #34- 28,3.4228931000000005,-76.50963899999998
4986,4986,20000788,Tienda Doris,La Primavera,COMUNA 11,Cali,Valle del Cauca,CR 33 # 34 B - 04,CR 33 , 34 B - 04,CR,33 , 34 B , 04,CR 33 #34B- 04,3.4227839999999996,-76.5093038
4987,4987,20004238,Tienda Mixta & M,Urbanizacion Aguacatal,COMUNA 1,Cali,Valle del Cauca,CL 19 OESTE # 8 A BIS - 141,CL 19 OESTE , 8 A BIS - 141,CL,19 OESTE , 8 A BIS , 141,CL 19OESTE #8ABIS- 141,3.4559800000000003,-76.5596657
4988,4988,20014716,Tienda Elbanito,Not Specified,COMUNA 15,Cali,Valle del Cauca,CR 46B#49-36,CR 46B,49-36,CR,46B,49,36,CR 46B #49-36,3.4004175,-76.51065919999998
4989,4989,20000566,Tienda Emmanuel,Alfonso Lopez Et 3,COMUNA 7,Cali,Valle del Cauca,CR 7 T # 77 - 24,CR 7 T , 77 - 24,CR,7 T , 77 , 24,CR 7T #77- 24,3.4526432999999996,-76.4794695
4990,4990,20000737,Tienda Jcampis,7 De Agosto,COMUNA 3,Cali,Valle del Cauca,CR 16 # 72 A - 31,CR 16 , 72 A - 31,CR,16 , 72 A , 31,CR 16 #72A- 31,3.4516467000000004,-76.53198540000001
4991,4991,20000002,Tienda Mixta,Comfenalco,COMUNA 11,Cali,Valle del Cauca,CR 1 CN # 82 - 29,CR 1 CN , 82 - 29,CR,1 CN , 82 , 29,CR 1CN #82- 29,3.4335438999999996,-76.5123785
4992,4992,20000006,Distriuner,Comfenalco,COMUNA 3,Cali,Valle del Cauca,CR 1G # 77- 05,CR 1G , 77- 05,CR,1G , 77, 05,CR 1G #77- 05,3.4479676,-76.53595859999999
4993,4993,20000007,Tienda Mixta,Comfenalco,COMUNA 3,Cali,Valle del Cauca,CR 1 C N # 81 - 81,CR 1 C N , 81 - 81,CR,1 C N , 81 , 81,CR 1CN #81- 81,3.4516467000000004,-76.53198540000001
4994,4994,20000010,Tienda Mi Oma,Comfenalco,COMUNA 3,Cali,Valle del Cauca,CR 1 D N 73 - 01,CR 1 D N 73 - 01,,CR,1 D N 73 - 01,,,CR 1DN73-01,3.4516467000000004,-76.53198540000001
4995,4995,20000014,Tienda Bella Floralia,Floralia,COMUNA 6,Cali,Valle del Cauca,CL 82 # 3 A N - 04,CL 82 , 3 A N - 04,CL,82 , 3 A N , 04,CL 82 #3AN- 04,3.496483,-76.48987799999998
4996,4996,20000018,Tienda Mixta,Floralia,COMUNA 6,Cali,Valle del Cauca,CL 82 # 3 B N - 79,CL 82 , 3 B N - 79,CL,82 , 3 B N , 79,CL 82 #3BN- 79,3.496483,-76.48987799999998
4997,4997,20000022,Tienda Jumi,Not Specified,Not Specified,Cali,Not Specified,CL 74 # 3 B N - 03 1 PISO,CL 74 , 3 B N - 03 1 PISO,CL,74 , 3 B N , 03 1 PISO,CL 74 #3BN- 03 1 PISO,,
4998,4998,20000037,Oyima,Floralia,COMUNA 6,Cali,Valle del Cauca,CL 82 # 3 B N - 04,CL 82 , 3 B N - 04,CL,82 , 3 B N , 04,CL 82 #3BN- 04,3.496483,-76.48987799999998
4999,4999,20000048,Tienda La 77,Floralia,COMUNA 6,Cali,Valle del Cauca,CL 77 # 3 B N - 06,CL 77 , 3 B N - 06,CL,77 , 3 B N , 06,CL 77 #3BN- 06,3.4961789,-76.4924218
5000,5000,20000049,Tienda Aaa,Floralia,COMUNA 6,Cali,Valle del Cauca,CL 72 C # 3 A N - 90,CL 72 C , 3 A N - 90,CL,72 C , 3 A N , 90,CL 72C #3AN- 90,3.4931906,-76.49545529999999
5001,5001,20000051,La Tienda Del Cielo,Floralia,COMUNA 6,Cali,Valle del Cauca,CR  3 N # 77 - 13,CR  3 N , 77 - 13,CR, 3 N , 77 , 13,CR 3N #77- 13,3.4943129,-76.490993
5002,5002,20000053,Tienda Venga Le Digo,Floralia,COMUNA 6,Cali,Valle del Cauca,CL 72 - 2 # 3 N - 08,CL 72 - 2 , 3 N - 08,CL,72 - 2 , 3 N , 08,CL 72-2 #3N- 08,3.4901633999999997,-76.4933896
5003,5003,20000054,Tienda Mixta Alexander,Not Specified,COMUNA 6,Cali,Valle del Cauca,CL 72 E # 3 N - 02,CL 72 E , 3 N - 02,CL,72 E , 3 N , 02,CL 72E #3N- 02,3.4923864,-76.49236460000002
5004,5004,20000057,La Regalia,Floralia,COMUNA 6,Cali,Valle del Cauca,CL 72 J # 3 N - 03,CL 72 J , 3 N - 03,CL,72 J , 3 N , 03,CL 72J #3N- 03,3.4948479,-76.4940744
5005,5005,20000064,Tienda Doña Blanca - El Pascualito,Floralia,COMUNA 6,Cali,Valle del Cauca,CR 3 N # 72 A 1 - 09,CR 3 N , 72 A 1 - 09,CR,3 N , 72 A 1 , 09,CR 3N #72A1- 09,3.4936085,-76.4913263
5006,5006,20000065,Tienda Mixta,Floralia,COMUNA 6,Cali,Valle del Cauca,CL 83 B # 2 B N 70,CL 83 B , 2 B N 70,CL,83 B , 2 B N 70,,CL 83B #2BN70,3.4981980000000004,-76.4913766
5007,5007,20000066,Comfama # 2,Floralia,COMUNA 6,Cali,Valle del Cauca,CL 72 G # 2 B N - 95,CL 72 G , 2 B N - 95,CL,72 G , 2 B N , 95,CL 72G #2BN- 95,3.4941042,-76.494759
5008,5008,20000075,Tienda Nando,Los Guadales,COMUNA 6,Cali,Valle del Cauca,CR 6 N # 71 H - 38,CR 6 N , 71 H - 38,CR,6 N , 71 H , 38,CR 6N #71H- 38,3.4905832,-76.49878340000002
5009,5009,20000076,Tienda Mixta Ld,Los Guadales,COMUNA 6,Cali,Valle del Cauca,CR 8 B  72 B - 58,CR 8 B  72 B - 58,,CR,8 B  72 B - 58,,,CR 8B72B-58,3.4905508999999997,-76.49896030000001
5010,5010,20000077,La Mejor Esquina,Los Guadales,COMUNA 6,Cali,Valle del Cauca,CL 71 H # 6 N 69,CL 71 H , 6 N 69,CL,71 H , 6 N 69,,CL 71H #6N69,3.4909392,-76.49910030000001
5011,5011,20000081,Variedades Duk,Lares De Comfenalco,COMUNA 3,Cali,Valle del Cauca,CL 71 I 1 # 3 N - 04,CL 71 I 1 , 3 N - 04,CL,71 I 1 , 3 N , 04,CL 71I1 #3N- 04,3.4529796999999998,-76.53304659999998
5012,5012,20000085,Tienda Stela,Paso Del Comercio,COMUNA 6,Cali,Valle del Cauca,DG 7 # 3 N - 03,DG 7 , 3 N - 03,DG,7 , 3 N , 03,DG 7 #3N- 03,3.4922732000000005,-76.4909943
5013,5013,20000087,Variedades Mariana,Paso Del Comercio,COMUNA 6,Cali,Valle del Cauca,CR 2 B N # 76 - 38,CR 2 B N , 76 - 38,CR,2 B N , 76 , 38,CR 2BN #76- 38,3.492865,-76.48884079999998
5014,5014,20000088,Tienda Angel,Paso Del Comercio,COMUNA 6,Cali,Valle del Cauca,DG 7 N # 71 - 490,DG 7 N , 71 - 490,DG,7 N , 71 , 490,DG 7N #71- 490,3.4912277,-76.4921035
5015,5015,20000105,Tienda Mixta,Floralia,COMUNA 6,Cali,Valle del Cauca,CL 83 # 2 BIS N - 18,CL 83 , 2 BIS N - 18,CL,83 , 2 BIS N , 18,CL 83 #2BISN- 18,3.4982195,-76.49263739999998
5016,5016,20000106,Variedades  Mayte,Floralia,COMUNA 6,Cali,Valle del Cauca,CL  82 # 2AN - 04,CL  82 , 2AN - 04,CL, 82 , 2AN , 04,CL 82 #2AN- 04,3.496483,-76.48987799999998
5017,5017,20000111,Tienda Jhoana,Manzanares Sec 1,COMUNA 4,Cali,Valle del Cauca,CR 37 CL 14 E # 37 OES 34,CR 37 CL 14 E , 37 OES 34,CR,37 CL 14 E , 37 OES 34,,CR 37CL14E #37OES34,3.4673358999999997,-76.51052440000002
