,Unnamed: 0,Codigo,Nombre,Barrio,Comuna,Población,Departamento,Dirección,Street,Number,Street_Type,Street_Number,Number_partA,Number_partB,Dirección Geo,latitude,longitude
0,0,20001543,Tienda Mixta Leyes,Republica De Israel,COMUNA 16,Cali,Valle del Cauca,CR 43 # 39 A - 13,CR 43 , 39 A - 13,CR,43 , 39 A , 13,CR 43 #39A- 13,3.4097779000000004,-76.51418869999998
1,1,20002837,Tienda Super R,Not Specified,COMUNA 16,Cali,Valle del Cauca,CR 83 # 34 - 26 CA 50 CON M,CR 83 , 34 - 26 CA 50 CON M,CR,83 , 34 , 26 CA 50 CON M,CR 83 #34- 26 CA 50 CON M,3.3990699,-76.51973170000001
2,2,20003405,Tienda Mixta Geovanny,Los Robles,COMUNA 13,Cali,Valle del Cauca,CL 72 T # 28 D - 4 - 34,CL 72 T , 28 D - 4 - 34,CL,72 T , 28 D , 4 - 34,CL 72T #28D- 4 - 34,3.4223941,-76.491855
7,7,20012714,Tienda Charrupi,Ciudad 2000,COMUNA 17,Cali,Valle del Cauca,CL 40#54-90,CL 40,54-90,CL,40,54,90,CL 40 #54-90,3.3888797,-76.52067029999998
8,8,20014511,Tienda Martha,Not Specified,COMUNA 16,Cali,Valle del Cauca,CR 44 A # 37 - 32,CR 44 A , 37 - 32,CR,44 A , 37 , 32,CR 44A #37- 32,3.4096107000000004,-76.51689040000001
9,9,20014919,Papelería Y Variedades Estefania,Not Specified,Comuna 16,Cali,Valle del Cauca,CL 54#83C2-38,CL 54,83C2-38,CL,54,83C2,38,CL 54 #83C2-38,3.3796629,-76.5107507
10,10,20014920,Tiendas Pronto Plus,Not Specified,COMUNA 5,Cali,Valle del Cauca,CR 1 BIS#58-16,CR 1 BIS,58-16,CR,1 BIS,58,16,CR 1BIS #58-16,3.4805669000000004,-76.4979084
11,11,20014921,Tienda Salome,Not Specified,COMUNA 13,Cali,Valle del Cauca,CL 72V # 28E - 56,CL 72V , 28E - 56,CL,72V , 28E , 56,CL 72V #28E- 56,3.4197312999999996,-76.4925122
23,23,20014933,Granero Sepúlveda,Not Specified,COMUNA 18,Cali,Valle del Cauca,CRA 74B # 1B - 01,CRA 74B , 1B - 01,CRA,74B , 1B , 01,CRA 74B #1B- 01,3.3894008,-76.55528369999998
24,24,20014934,Economía,Not Specified,COMUNA 6,Cali,Valle del Cauca,CL 75 # 1B - 03,CL 75 , 1B - 03,CL,75 , 1B , 03,CL 75 #1B- 03,3.4962472,-76.49372850000002
25,25,20014935,Economía,Not Specified,COMUNA 6,Cali,Valle del Cauca,CL 75 # 1B - 03,CL 75 , 1B - 03,CL,75 , 1B , 03,CL 75 #1B- 03,3.4962472,-76.49372850000002
27,27,20014937,Micelanea Villa Laguna,Not Specified,COMUNA 18,Cali,Valle del Cauca,CRA 74 # 1 - 47,CRA 74 , 1 - 47,CRA,74 , 1 , 47,CRA 74 #1- 47,3.3901084000000004,-76.5544065
32,32,20014942,Rapi Exprees,Not Specified,COMUNA 19,Cali,Valle del Cauca,CR 62C#6A-39,CR 62C,6A-39,CR,62C,6A,39,CR 62C #6A-39,3.4025451,-76.5449517
33,33,20014943,Tienda La Sexta,Not Specified,COMUNA 1,Cali,Valle del Cauca,AV 6#22A-16,AV 6,22A-16,AV,6,22A,16,AV 6 #22A-16,3.4530623999999994,-76.5647054
34,34,20010235,Panadería El Encanto,Villa Del Lago,COMUNA 8,Cali,Valle del Cauca,CR 25BIS#70-04,CR 25BIS,70-04,CR,25BIS,70,04,CR 25BIS #70-04,3.447821,-76.489389
37,37,20014683,Su Despensa,Not Specified,COMUNA 19,Cali,Valle del Cauca,CR 23 # 03 - 59,CR 23 , 03 - 59,CR,23 , 03 , 59,CR 23 #03- 59,3.4390059999999996,-76.53828840000001
38,38,20014748,Salsamentaria Los Paolos,Not Specified,COMUNA 4,Cali,Valle del Cauca,CRA 3 # 46A - 39,CRA 3 , 46A - 39,CRA,3 , 46A , 39,CRA 3 #46A- 39,3.464613,-76.5043416
39,39,20014749,Salsamentaria Los Paolos,Not Specified,COMUNA 4,Cali,Valle del Cauca,CRA 3 # 46A - 39,CRA 3 , 46A - 39,CRA,3 , 46A , 39,CRA 3 #46A- 39,3.464613,-76.5043416
40,40,20014649,Tienda El Bararon,Not Specified,COMUNA 21,Cali,Valle del Cauca,CL 120 H#22-62,CL 120 H,22-62,CL,120 H,22,62,CL 120H #22-62,3.4271818,-76.46279419999998
41,41,20014271,Tienda Tres Y Una,Not Specified,COMUNA 14,Cali,Valle del Cauca,CR 26 O#108-74,CR 26 O,108-74,CR,26 O,108,74,CR 26O #108-74,3.4180713,-76.474417
42,42,20010303,Rancho De Santa Elena,Villa Del Lago,COMUNA 13,Cali,Valle del Cauca,DG 70N#25H-26,DG 70N,25H-26,DG,70N,25H,26,DG 70N #25H-26,3.4376051,-76.4913156
43,43,20001263,Tienda Mixta Los Paisas,Not Specified,COMUNA 11,Cali,Valle del Cauca,CL 26 B # 24 A -30,CL 26 B , 24 A -30,CL,26 B , 24 A ,30,CL 26B #24A-30,3.4333826000000003,-76.51732340000002
44,44,20003048,Supermarket Peto,Pampalinda,COMUNA 19,Cali,Valle del Cauca,CR 62 # 2 B - 08,CR 62 , 2 B - 08,CR,62 , 2 B , 08,CR 62 #2B- 08,3.4043400000000004,-76.55069940000001
45,45,20010309,Tienda Mixta Axel,Villa Blanca,COMUNA 13,Cali,Valle del Cauca,CR 28 A#72 J-100,CR 28 A,72 J-100,CR,28 A,72 J,100,CR 28A #72J-100,3.4275851000000004,-76.49528409999998
47,47,20003790,Rapitiendaa Daniel,San Bosco,COMUNA 3,Cali,Valle del Cauca,CL 10 # 13 - 46,CL 10 , 13 - 46,CL,10 , 13 , 46,CL 10 #13- 46,3.4476454,-76.52951180000001
50,50,20010549,Lago Tiendas,Villa Del Lago,COMUNA 13,Cali,Valle del Cauca,CR 26#72F-76,CR 26,72F-76,CR,26,72F,76,CR 26 #72F-76,3.4384133,-76.49152420000001
52,52,20008235,Tienda El Castillo,El Poblado Ii,COMUNA 13,Cali,Valle del Cauca,CR 28 E - 5 # 72 B - 73 AP 6,CR 28 E - 5 , 72 B - 73 AP 6,CR,28 E - 5 , 72 B , 73 AP 6,CR 28E-5 #72B- 73 AP 6,3.4195759,-76.4944196
53,53,20014751,Variedades Gelmi,Not Specified,COMUNA 15,Cali,Valle del Cauca,CR 43B#48A-72,CR 43B,48A-72,CR,43B,48A,72,CR 43B #48A-72,3.4021343,-76.5087676
55,55,20014752,Tienda Mixta,Not Specified,COMUNA 15,Cali,Valle del Cauca,CR 42D#48-93,CR 42D,48-93,CR,42D,48,93,CR 42D #48-93,3.4036074999999997,-76.50777599999998
56,56,20007284,Las Palmas,Jose Manuel Marroquin 2,COMUNA 14,Cali,Valle del Cauca,CR 26H#87-67,CR 26H,87-67,CR,26H,87,67,CR 26H #87-67,3.4268207000000004,-76.4782752
57,57,20000780,Tienda Mixta,Ulpiano Lloreda,COMUNA 13,Cali,Valle del Cauca,CL 72 # 23 A 11,CL 72 , 23 A 11,CL,72 , 23 A 11,,CL 72 #23A11,3.4427744,-76.48946200000002
58,58,20005902,Betty,Las Orquideas,COMUNA 14,Cali,Valle del Cauca,CR 28-2#103-50,CR 28-2,103-50,CR,28-2,103,50,CR 28-2 #103-50,3.4142514999999998,-76.47897040000001
60,60,20014753,Tienda Mixta,Not Specified,COMUNA 15,Cali,Valle del Cauca,CR 42D#48-18,CR 42D,48-18,CR,42D,48,18,CR 42D #48-18,3.4039627,-76.5083392
61,61,20010988,La Economía,Charco Azul,COMUNA 13,Cali,Valle del Cauca,CR 23A#72D3-28,CR 23A,72D3-28,CR,23A,72D3,28,CR 23A #72D3-28,3.4424704,-76.4884072
63,63,20003028,Tienda Mixta,Ciudadela Comfandi,COMUNA 17,Cali,Valle del Cauca,CR 83 D CON CL 37 # 35- 56,CR 83 D CON CL 37 , 35- 56,CR,83 D CON CL 37 , 35, 56,CR 83DCONCL37 #35- 56,3.3840806000000003,-76.5226437
64,64,20014702,Granero Armenia,Not Specified,COMUNA 8,Cali,Valle del Cauca,CR 11G#28-04,CR 11G,28-04,CR,11G,28,04,CR 11G #28-04,3.4477697,-76.51596239999998
65,65,20001588,Helados La Ventana,Villa Del Prado,COMUNA 5,Cali,Valle del Cauca,CL 58 A # 3A - 05,CL 58 A , 3A - 05,CL,58 A , 3A , 05,CL 58A #3A- 05,3.4665958,-76.49559479999998
66,66,20014655,Tienda El Royalito,Not Specified,COMUNA 19,Cali,Valle del Cauca,CL 2B # 66 - 35,CL 2B , 66 - 35,CL,2B , 66 , 35,CL 2B #66- 35,3.3977647000000006,-76.55148779999998
67,67,20014754,Panadería Y Pastelería Delicias Los,Not Specified,COMUNA 15,Cali,Valle del Cauca,CL 50#42B-BIS-72,CL 50,42B-BIS-72,CL,50,42B,BIS-72,CL 50 #42B-BIS-72,3.4032183,-76.5066743
68,68,20014656,Tienda El Royalito,Not Specified,COMUNA 19,Cali,Valle del Cauca,CL 2B # 66 - 35,CL 2B , 66 - 35,CL,2B , 66 , 35,CL 2B #66- 35,3.3977647000000006,-76.55148779999998
69,69,20014657,Dulcería La Mona,Not Specified,COMUNA 19,Cali,Valle del Cauca,CL 4 # 61 - 28,CL 4 , 61 - 28,CL,4 , 61 , 28,CL 4 #61- 28,3.4051092000000005,-76.5479668
70,70,20013492,Minimarket Js,Not Specified,COMUNA 19,Cali,Valle del Cauca,CR 42#83-C40,CR 42,83-C40,CR,42,83,C40,CR 42 #83-C40,3.4194193,-76.54069659999998
71,71,20014755,Variedades Laura,Not Specified,COMUNA 15,Cali,Valle del Cauca,CR 44A#48A-35,CR 44A,48A-35,CR,44A,48A,35,CR 44A #48A-35,3.4019977,-76.5093727
73,73,20011019,Salsamentaria Gloria,Ricardo Balcazar,COMUNA 13,Cali,Valle del Cauca,CR 26 H#72H-09,CR 26 H,72H-09,CR,26 H,72H,09,CR 26H #72H-09,3.4303407,-76.4843568
74,74,20014447,Tienda Laura,Not Specified,COMUNA 13,Cali,Valle del Cauca,CR 28 J # 72 O - 104,CR 28 J , 72 O - 104,CR,28 J , 72 O , 104,CR 28J #72O- 104,3.4190586000000005,-76.49681939999998
78,78,20014660,Unicord,Not Specified,COMUNA 8,Cali,Valle del Cauca,CR 12#48-3,CR 12,48-3,CR,12,48,3,CR 12 #48-3,3.4487044,-76.5019981
79,79,20014703,Variedades Giselle,Not Specified,COMUNA 14,Cali,Valle del Cauca,CR 26 Q#114-31,CR 26 Q,114-31,CR,26 Q,114,31,CR 26Q #114-31,3.4167042000000003,-76.47298520000001
82,82,20014757,Economía,Not Specified,COMUNA 3,Cali,Valle del Cauca,CR 26P6#96-24,CR 26P6,96-24,CR,26P6,96,24,CR 26P6 #96-24,3.4516467000000004,-76.53198540000001
83,83,20003552,Tienda Mixta,El Ingenio,COMUNA 17,Cali,Valle del Cauca,CR 83 B # 17 - 61,CR 83 B , 17 - 61,CR,83 B , 17 , 61,CR 83B #17- 61,3.3846727,-76.5271644
84,84,20001962,Tienda Mixta Yaneth,Compartir,COMUNA 21,Cali,Valle del Cauca,CL 101 E # 24 B - 04,CL 101 E , 24 B - 04,CL,101 E , 24 B , 04,CL 101E #24B- 04,3.4316428,-76.4673522
85,85,20003557,Tienda Gaby,Compartir,COMUNA 21,Cali,Valle del Cauca,CL 101 E # 23 - 99,CL 101 E , 23 - 99,CL,101 E , 23 , 99,CL 101E #23- 99,3.4318763999999997,-76.4656724
86,86,20002041,Tienda Mixta,Ciudad Talanga,COMUNA 21,Cali,Valle del Cauca,CR 24 H # 85 -104,CR 24 H , 85 -104,CR,24 H , 85 ,104,CR 24H #85-104,3.4340203999999996,-76.4696974
87,87,20011151,Tienda Mixta,Villa Blanca,COMUNA 13,Cali,Valle del Cauca,CR 26 J#72 J-95,CR 26 J,72 J-95,CR,26 J,72 J,95,CR 26J #72J-95,3.4282654999999997,-76.4846762
88,88,20014663,Tienda Mixta,Not Specified,COMUNA 16,Cali,Valle del Cauca,CR 46C#44-19,CR 46C,44-19,CR,46C,44,19,CR 46C #44-19,3.4034399,-76.514228
90,90,20010014,Tienda Mixta,Nueva Floresta,COMUNA 12,Cali,Valle del Cauca,CR 24#60-15,CR 24,60-15,CR,24,60,15,CR 24 #60-15,3.4423212999999997,-76.4933781
91,91,20014664,Tienda Mixta,Not Specified,COMUNA 16,Cali,Valle del Cauca,CR 47#44-82,CR 47,44-82,CR,47,44,82,CR 47 #44-82,3.4026633,-76.51437829999998
92,92,20014665,Tienda Mixta,Not Specified,COMUNA 16,Cali,Valle del Cauca,CR 47A#45-24,CR 47A,45-24,CR,47A,45,24,CR 47A #45-24,3.4020175999999998,-76.5143516
94,94,20012285,Licores Y Distribuidora El Pondaje,Not Specified,COMUNA 6,Cali,Valle del Cauca,CL 70D#28B-02,CL 70D,28B-02,CL,70D,28B,02,CL 70D #28B-02,3.4770759,-76.4866455
95,95,20014666,Tienda Mixta,Not Specified,COMUNA 16,Cali,Valle del Cauca,CR 47#46B-80,CR 47,46B-80,CR,47,46B,80,CR 47 #46B-80,3.4017204,-76.51341120000001
96,96,20014758,Sofía,Not Specified,COMUNA 8,Cali,Valle del Cauca,CR 8#48-103,CR 8,48-103,CR,8,48,103,CR 8 #48-103,3.4527695,-76.500997
99,99,20014853,Rapitienda El Refugio,Not Specified,COMUNA 10,Cali,Valle del Cauca,CRA 44 # 18 - 116,CRA 44 , 18 - 116,CRA,44 , 18 , 116,CRA 44 #18- 116,3.4115656000000003,-76.5233923
104,104,20014851,Tienda Ángel,Not Specified,COMUNA 3,Cali,Valle del Cauca,CR 26 P1#80-10,CR 26 P1,80-10,CR,26 P1,80,10,CR 26P1 #80-10,3.4516467000000004,-76.53198540000001
105,105,20014632,El  Chuzo De Bertha,Not Specified,SECTOR BOSQUE MUNICIPAL - ZOOLOGICO DE CALI,Cali,Valle del Cauca,CR 26R1#124-06,CR 26R1,124-06,CR,26R1,124,06,CR 26R1 #124-06,3.4481076,-76.55683719999998
108,108,20003862,Variedades Hanci,Barrio Terron Colorado I,Comuna 1,Cali,Not Specified,AV 4 A OESTE # 18  44 ,AV 4 A OESTE , 18  44 ,AV,4 A OESTE , 18  44 ,,AV 4AOESTE #1844 ,,
111,111,20007449,Supermercado Popular,Ciudad Cordoba,COMUNA 15,Cali,Valle del Cauca,CL 54 # 41 E - 3 -06,CL 54 , 41 E - 3 -06,CL,54 , 41 E , 3 -06,CL 54 #41E- 3 -06,3.4030441,-76.50290389999998
113,113,20010827,Tienda El Descuento,Ciudad Cordoba,COMUNA 15,Cali,Valle del Cauca,CL 48 # 47 A -03,CL 48 , 47 A -03,CL,48 , 47 A ,03,CL 48 #47A-03,3.4004638,-76.5123624
115,115,20005538,El Rancho De Jampi,Eduardo Santos,COMUNA 11,Cali,Valle del Cauca,CL 34 C # 28 D 1 - 27,CL 34 C , 28 D 1 - 27,CL,34 C , 28 D 1 , 27,CL 34C #28D1- 27,3.4201854,-76.5092142
116,116,20014492,Rapitienda C Y M,Not Specified,COMUNA 16,Cali,Valle del Cauca,CL 41 # 44 A - 05,CL 41 , 44 A - 05,CL,41 , 44 A , 05,CL 41 #44A- 05,3.407349,-76.51463380000001
143,143,20012912,Rapitienda Calipso Plaza,Not Specified,COMUNA 13,Cali,Valle del Cauca,CR 28E#72F4-05,CR 28E,72F4-05,CR,28E,72F4,05,CR 28E #72F4-05,3.4189992999999994,-76.4910068
147,147,20014668,Tiendas Gran Abasto,Not Specified,COMUNA 6,Cali,Valle del Cauca,CR 1 A 2 # CL-70 C - 29 BL 185 AP 5,CR 1 A 2 , CL-70 C - 29 BL 185 AP 5,CR,1 A 2 , CL,70 C - 29 BL 185 AP 5,CR 1A2 #CL-70 C - 29 BL 185 AP 5,3.486762,-76.4906607
169,169,20010962,Tienda Mixta,Mariano Ramos,COMUNA 16,Cali,Valle del Cauca,CL 47 # 42 B - 52,CL 47 , 42 B - 52,CL,47 , 42 B , 52,CL 47 #42B- 52,3.405135,-76.50858570000001
170,170,20003442,Tienda La Gloria,El Jardin,COMUNA 11,Cali,Valle del Cauca,CR 29 A # 26 B - 72,CR 29 A , 26 B - 72,CR,29 A , 26 B , 72,CR 29A #26B- 72,3.428064,-76.51784609999999
176,176,20014763,Pensilvania,Not Specified,COMUNA 14,Cali,Valle del Cauca,CL 75#27-156,CL 75,27-156,CL,75,27,156,CL 75 #27-156,3.4227207,-76.48537590000001
177,177,20014764,Punto Del Sabor,Not Specified,COMUNA 11,Cali,Valle del Cauca,CRA 41D # 29 - 42,CRA 41D , 29 - 42,CRA,41D , 29 , 42,CRA 41D #29- 42,3.4152057,-76.51601670000001
178,178,20002394,Tienda Mixta,Diamante,COMUNA 13,Cali,Valle del Cauca,CR 33 # 38 - 90,CR 33 , 38 - 90,CR,33 , 38 , 90,CR 33 #38- 90,3.4202901,-76.50419289999998
179,179,20014766,Rapicascada,Not Specified,COMUNA 19,Cali,Valle del Cauca,CRA 65 # 1A - 101,CRA 65 , 1A - 101,CRA,65 , 1A , 101,CRA 65 #1A- 101,3.3999133,-76.5544448
180,180,20014767,Rapicascada,Not Specified,COMUNA 19,Cali,Valle del Cauca,CRA 65 # 1A - 101,CRA 65 , 1A - 101,CRA,65 , 1A , 101,CRA 65 #1A- 101,3.3999133,-76.5544448
181,181,20014768,N,Not Specified,COMUNA 12,Cali,Valle del Cauca,CR 22#52-16,CR 22,52-16,CR,22,52,16,CR 22 #52-16,3.4417939,-76.4989755
182,182,20014769,Tienda Granadina,Not Specified,COMUNA 21,Cali,Valle del Cauca,CL 100 C#23-12,CL 100 C,23-12,CL,100 C,23,12,CL 100C #23-12,3.4338010000000003,-76.4655997
183,183,20014770,Nuevo González,Not Specified,COMUNA 12,Cali,Valle del Cauca,CR 22#52-16,CR 22,52-16,CR,22,52,16,CR 22 #52-16,3.4417939,-76.4989755
209,209,20014706,Zora Mixta,Not Specified,COMUNA 12,Cali,Valle del Cauca,CR 25#56-71,CR 25,56-71,CR,25,56,71,CR 25 #56-71,3.4391078999999998,-76.49606329999999
294,294,20014797,Rapitienda Karlitos,Not Specified,COMUNA 4,Cali,Valle del Cauca,CL 34 # 2N - 68,CL 34 , 2N - 68,CL,34 , 2N , 68,CL 34 #2N- 68,3.4654171000000003,-76.5162021
402,402,20014708,Multiservicios Berlín,Not Specified,COMUNA 9,Cali,Valle del Cauca,CR 9#21-74,CR 9,21-74,CR,9,21,74,CR 9 #21-74,3.4502317000000002,-76.52230949999998
432,432,20014637,Supermercado Caldas,Not Specified,COMUNA 12,Cali,Valle del Cauca,CRA 28 # 33 D - 06,CRA 28 , 33 D - 06,CRA,28 , 33 D , 06,CRA 28 #33D- 06,3.4323509,-76.50591469999998
444,444,20014638,La Futbolera,Not Specified,COMUNA 16,Cali,Valle del Cauca,CR 47B#37-72,CR 47B,37-72,CR,47B,37,72,CR 47B #37-72,3.4067013999999998,-76.51944959999999
598,598,20013800,Tienda Comidas Rapidas El Paisa,Charco Azul,COMUNA 13,Cali,Valle del Cauca,DG CR 22 B # 70 C- 22 ESQ,DG CR 22 B , 70 C- 22 ESQ,DG,CR 22 B , 70 C, 22 ESQ,DG CR22B #70C- 22 ESQ,3.4405312000000006,-76.48541349999998
627,627,20013816,Tienda Mixta,Not Specified,COMUNA 13,Cali,Valle del Cauca,CR 26L#72H2-32,CR 26L,72H2-32,CR,26L,72H2,32,CR 26L #72H2-32,3.4320991999999997,-76.49385620000001
711,711,20003545,Tienda J Y M,Aranjuez,COMUNA 9,Cali,Valle del Cauca,CL 18 # 18 - 46,CL 18 , 18 - 46,CL,18 , 18 , 46,CL 18 #18- 46,3.4392527000000004,-76.52246159999999
712,712,20003866,Variedades Angie Valeria,Aranjuez,COMUNA 9,Cali,Valle del Cauca,CL 16 #  21  -31,CL 16 ,  21  -31,CL,16 ,  21  ,31,CL 16 #21-31,3.4377462,-76.5244057
713,713,20003869,Tienda Nancy,Aranjuez,COMUNA 9,Cali,Valle del Cauca,CL 16 A # 23 - 04,CL 16 A , 23 - 04,CL,16 A , 23 , 04,CL 16A #23- 04,3.4359754999999996,-76.52380749999998
714,714,20004012,Tienda Diaz,Alfonso Bonilla Aragon,COMUNA 14,Cali,Valle del Cauca,CR 26 U # 91 - 10,CR 26 U , 91 - 10,CR,26 U , 91 , 10,CR 26U #91- 10,3.4201900000000003,-76.4801892
715,715,20004013,Tienda Mixta,Alfonso Bonilla Aragon,COMUNA 14,Cali,Valle del Cauca,CR 27 # 91 - 142,CR 27 , 91 - 142,CR,27 , 91 , 142,CR 27 #91- 142,3.4188657,-76.4797071
716,716,20004500,Tienda Mixta,Aranjuez,COMUNA 9,Cali,Valle del Cauca,CL 17 # 18 A - 14,CL 17 , 18 A - 14,CL,17 , 18 A , 14,CL 17 #18A- 14,3.4395184000000003,-76.5233681
717,717,20004205,Tienda Mixta,Not Specified,COMUNA 16,Cali,Valle del Cauca,CR 49 # 40 A -19,CR 49 , 40 A -19,CR,49 , 40 A ,19,CR 49 #40A-19,3.4035611000000006,-76.5191483
718,718,20004593,Tienda Mixta,Not Specified,COMUNA 16,Cali,Valle del Cauca,CR 49 C # 44 - 17,CR 49 C , 44 - 17,CR,49 C , 44 , 17,CR 49C #44- 17,3.4000303999999995,-76.5177941
720,720,20000069,Tienda Mixta Jf,Not Specified,COMUNA 15,Cali,Valle del Cauca,CL 82 # 3 N - 04,CL 82 , 3 N - 04,CL,82 , 3 N , 04,CL 82 #3N- 04,3.4140474000000003,-76.49040889999998
721,721,20004373,Mercali,Floralia,COMUNA 6,Cali,Valle del Cauca,CL 83 A # 5 N - 72,CL 83 A , 5 N - 72,CL,83 A , 5 N , 72,CL 83A #5N- 72,3.4990105000000002,-76.49345490000002
722,722,20004601,Tienda Mixta Diana,Rodeo,COMUNA 12,Cali,Valle del Cauca,CL 42 A # 25 C - 27,CL 42 A , 25 C - 27,CL,42 A , 25 C , 27,CL 42A #25C- 27,3.4356607000000006,-76.5011877
723,723,20004228,Tienda Mixta,Mariano Ramos,COMUNA 16,Cali,Valle del Cauca,CL 47 # 46 - 44,CL 47 , 46 - 44,CL,47 , 46 , 44,CL 47 #46- 44,3.4022153,-76.51171490000002
724,724,20004517,Tienda Los Helechos,Floralia,COMUNA 3,Cali,Valle del Cauca,CR 9 # 81 - 33,CR 9 , 81 - 33,CR,9 , 81 , 33,CR 9 #81- 33,3.4475572,-76.5343003
725,725,20003639,Tienda La Cuarta C,Barrio Terron Colorado I,COMUNA 1,Cali,Valle del Cauca,AV 4 A OESTE # 16 - 61,AV 4 A OESTE , 16 - 61,AV,4 A OESTE , 16 , 61,AV 4AOESTE #16- 61,3.452668,-76.558695
726,726,20003638,Tienda Mixta El Oasis,Barrio Terron Colorado I,COMUNA 1,Cali,Valle del Cauca,AV 4 A # 22 - 27,AV 4 A , 22 - 27,AV,4 A , 22 , 27,AV 4A #22- 27,3.4519152,-76.5639802
727,727,20003630,Tienda Mixto Paty,Barrio Terron Colorado I,COMUNA 1,Cali,Valle del Cauca,AV 5 OESTE # 11 - 29,AV 5 OESTE , 11 - 29,AV,5 OESTE , 11 , 29,AV 5OESTE #11- 29,3.4545858999999997,-76.55308559999999
728,728,20003627,Tienda Punto Azul,Barrio Terron Colorado I,COMUNA 3,Cali,Valle del Cauca,CR 90 OESTE # 3 - 22,CR 90 OESTE , 3 - 22,CR,90 OESTE , 3 , 22,CR 90OESTE #3- 22,3.457393,-76.5240469
729,729,20003588,Tienda Molano,Barrio Terron Colorado I,COMUNA 1,Cali,Valle del Cauca,CL 21 B OESTE # 6-90,CL 21 B OESTE , 6-90,CL,21 B OESTE , 6,90,CL 21BOESTE #6-90,3.4530564,-76.56318030000001
730,730,20003586,Miscelánea El Trigal,Barrio Terron Colorado I,COMUNA 1,Cali,Valle del Cauca,AV 6 OESTE # 22-65,AV 6 OESTE , 22-65,AV,6 OESTE , 22,65,AV 6OESTE #22-65,3.4530745,-76.56498669999998
731,731,20003585,Miscelánea Yuli,Barrio Terron Colorado I,COMUNA 1,Cali,Valle del Cauca,AV 9 OESTE # 25 B 29,AV 9 OESTE , 25 B 29,AV,9 OESTE , 25 B 29,,AV 9OESTE #25B29,3.456242,-76.5696291
732,732,20003647,Maxitienda La 4,Barrio Terron Colorado I,COMUNA 2,Cali,Valle del Cauca,AV 4 OESTE # 13 - 224,AV 4 OESTE , 13 - 224,AV,4 OESTE , 13 , 224,AV 4OESTE #13- 224,3.4513445,-76.5406498
733,733,20003646,Tienda Pipe,Barrio Terron Colorado I,COMUNA 1,Cali,Valle del Cauca,AV 4 A OESTE # 20 - 86,AV 4 A OESTE , 20 - 86,AV,4 A OESTE , 20 , 86,AV 4AOESTE #20- 86,3.452668,-76.558695
734,734,20003641,La Prosperidad,Barrio Terron Colorado I,COMUNA 1,Cali,Valle del Cauca,CLL 19 # 7 B - 23,CLL 19 , 7 B - 23,CLL,19 , 7 B , 23,CLL 19 #7B- 23,3.4545051,-76.55934549999998
735,735,20003584,Tienda Sofi,Barrio Terron Colorado I,COMUNA 1,Cali,Valle del Cauca,AV 7 OESTE # 23 B 76,AV 7 OESTE , 23 B 76,AV,7 OESTE , 23 B 76,,AV 7OESTE #23B76,3.4537112999999997,-76.56528279999998
736,736,20003577,Tienda Ruiz C,Barrio Terron Colorado I,COMUNA 1,Cali,Valle del Cauca,AV 5 OESTE # 25 - 05,AV 5 OESTE , 25 - 05,AV,5 OESTE , 25 , 05,AV 5OESTE #25- 05,3.4532991,-76.56910079999999
737,737,20003578,Tienda Playmaniaticos,Barrio Terron Colorado I,COMUNA 1,Cali,Valle del Cauca,CL 25 OESTE # 5 - 26,CL 25 OESTE , 5 - 26,CL,25 OESTE , 5 , 26,CL 25OESTE #5- 26,3.4534002,-76.5683976
738,738,20003580,Tienda Chelito,Barrio Terron Colorado I,COMUNA 1,Cali,Valle del Cauca,CL 25 OESTE # 5 - 63,CL 25 OESTE , 5 - 63,CL,25 OESTE , 5 , 63,CL 25OESTE #5- 63,3.4534002,-76.5683976
739,739,20003633,Tienda Liliana,Barrio Terron Colorado I,COMUNA 1,Cali,Valle del Cauca,AV 8 OESTE # 18 - 59,AV 8 OESTE , 18 - 59,AV,8 OESTE , 18 , 59,AV 8OESTE #18- 59,3.4551792999999997,-76.5592552
740,740,20003635,Tienda Don Julio,Barrio Terron Colorado I,COMUNA 1,Cali,Valle del Cauca,AV 8 OESTE # 19 - 31,AV 8 OESTE , 19 - 31,AV,8 OESTE , 19 , 31,AV 8OESTE #19- 31,3.4552199999999997,-76.5604913
741,741,20003643,Manuelita,Barrio Terron Colorado I,COMUNA 1,Cali,Valle del Cauca,AV 8 OESTE # 19 - 141,AV 8 OESTE , 19 - 141,AV,8 OESTE , 19 , 141,AV 8OESTE #19- 141,3.4552199999999997,-76.5604913
742,742,20003644,Tienda Mixta,Barrio Terron Colorado I,COMUNA 1,Cali,Valle del Cauca,AV 8 OESTE # 19 A - 08,AV 8 OESTE , 19 A - 08,AV,8 OESTE , 19 A , 08,AV 8OESTE #19A- 08,3.4552199999999997,-76.5604913
743,743,20003581,Tienda Mixta,Barrio Terron Colorado I,COMUNA 1,Cali,Valle del Cauca,AV 7 OESTE # 26 A 40,AV 7 OESTE , 26 A 40,AV,7 OESTE , 26 A 40,,AV 7OESTE #26A40,3.4535704,-76.56196489999998
744,744,20003583,Tienda Mixta,Not Specified,COMUNA 1,Cali,Valle del Cauca,CL 24 OESTE # 5-30,CL 24 OESTE , 5-30,CL,24 OESTE , 5,30,CL 24OESTE #5-30,3.4530707,-76.5671455
